course_id,title,provider,area,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,degree,closeness,betweenness,eigenvector,transitivity,constraint,isolate,foldness
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Physical Science and Engineering,Engineering,Massachusetts Institute of Technology,1,5,12,2,1,FALSE,0,0,0,0,0,5,0,0,3,Introductory,49,FREE audit/Pay for certificate,8,36498,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Physical Science and Engineering,Engineering,Massachusetts Institute of Technology,1,5,12,2,2,TRUE,0,0,0,0,0,5,0,0,3,Introductory,49,FREE audit/Pay for certificate,8,36498,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Physical Science and Engineering,Engineering,Massachusetts Institute of Technology,1,5,12,2,3,FALSE,5,5.0,0.4,0.0,269.8,5,1.0,0.0,3,Introductory,49,FREE audit/Pay for certificate,8,36498,47,1.57631740727313e-05,0.878919072699857,0.235313650787574,1,0.0760145300367485,FALSE,4
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Physical Science and Engineering,Engineering,Massachusetts Institute of Technology,1,5,12,2,4,TRUE,8,5.0,0.0,0.0,665.25,5,1.0,0.0,3,Introductory,49,FREE audit/Pay for certificate,8,36498,31,1.91036564398426e-05,0,0.973742398694099,1,0.122234117728578,FALSE,1
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Arts and Humanities,Music,Harvard University,2,5,6,3,1,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Arts and Humanities,Music,Harvard University,4,5,6,3,2,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Arts and Humanities,Music,Harvard University,2,5,6,3,3,TRUE,6,5.0,0.0,0.0,335.0,5,1.0,0.0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341,92,1.57935467567952e-05,1951.52711023734,0.7274320833815,0.532011466794076,0.0419177656313182,FALSE,6
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Arts and Humanities,Music,Harvard University,3,5,6,3,4,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,NA,History,Harvard University,2,5,3,4,1,FALSE,0,0,0,0,0,5,0,0,4,Introductory,25,FREE audit/Pay for certificate,1,75447,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,NA,History,Harvard University,4,5,3,4,2,FALSE,0,0,0,0,0,5,0,0,4,Introductory,25,FREE audit/Pay for certificate,1,75447,NA,NA,NA,NA,NA,NA,NA,NA
