course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,time,time_review_count,time_review_rating,time_avg_low_review,time_avg_moderate_review,time_avg_high_review,time_avg_helpful_review_score,time_avg_review_length,effort_hours (per_week),level,price,enrollment_type,course_length,url
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Engineering,Massachusetts Institute of Technology,1,5,12,1,0,0,0,0,0,0,0,3,Introductory,49,FREE audit/Pay for certificate,8,36498
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Engineering,Massachusetts Institute of Technology,1,5,12,2,0,0,0,0,0,0,0,3,Introductory,49,FREE audit/Pay for certificate,8,36498
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Engineering,Massachusetts Institute of Technology,1,5,12,3,5,5.0,0.0,0.0,1.0,0.4,269.8,3,Introductory,49,FREE audit/Pay for certificate,8,36498
CourseTalk-1,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Engineering,Massachusetts Institute of Technology,1,5,12,4,8,5.0,0.0,0.0,1.0,0.0,665.25,3,Introductory,49,FREE audit/Pay for certificate,8,36498
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Music,Harvard University,2,5,6,1,0,0,0,0,0,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Music,Harvard University,4,5,6,2,0,0,0,0,0,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Music,Harvard University,2,5,6,3,6,5.0,0.0,0.0,1.0,0.0,335.0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341
CourseTalk-2,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Music,Harvard University,3,5,6,4,0,0,0,0,0,0,0,2.5,Introductory,29,FREE audit/Pay for certificate,3,51341
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,History,Harvard University,2,5,3,1,0,0,0,0,0,0,0,4,Introductory,25,FREE audit/Pay for certificate,1,75447
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,History,Harvard University,4,5,3,2,0,0,0,0,0,0,0,4,Introductory,25,FREE audit/Pay for certificate,1,75447
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,History,Harvard University,2,5,3,3,0,0,0,0,0,0,0,4,Introductory,25,FREE audit/Pay for certificate,1,75447
CourseTalk-3,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,History,Harvard University,3,5,3,4,3,5.0,0.0,0.0,1.0,0.0,404.0,4,Introductory,25,FREE audit/Pay for certificate,1,75447
CourseTalk-4,Behavioral Economics in Action,edX,Business & Management,University of Toronto,17,5,10,1,0,0,0,0,0,0,0,4.5,Introductory,49,FREE audit/Pay for certificate,6,14133
CourseTalk-4,Behavioral Economics in Action,edX,Business & Management,University of Toronto,20,5,10,2,0,0,0,0,0,0,0,4.5,Introductory,49,FREE audit/Pay for certificate,6,14133
CourseTalk-4,Behavioral Economics in Action,edX,Business & Management,University of Toronto,34,5,10,3,3,5.0,0.0,0.0,1.0,0.0,333.3333333333333,4.5,Introductory,49,FREE audit/Pay for certificate,6,14133
CourseTalk-4,Behavioral Economics in Action,edX,Business & Management,University of Toronto,32,5,10,4,7,4.714285714285714,0.0,0.0,1.0,0.0,553.1428571428571,4.5,Introductory,49,FREE audit/Pay for certificate,6,14133
CourseTalk-5,Autonomous Mobile Robots,edX,Computer Science,ETH Zurich,12,4,3,1,0,0,0,0,0,0,0,5,Intermediate,50,FREE audit/Pay for certificate,15,69848
CourseTalk-5,Autonomous Mobile Robots,edX,Computer Science,ETH Zurich,12,4,3,2,0,0,0,0,0,0,0,5,Intermediate,50,FREE audit/Pay for certificate,15,69848
CourseTalk-5,Autonomous Mobile Robots,edX,Computer Science,ETH Zurich,9,4,3,3,1,5.0,0.0,0.0,1.0,0.0,100.0,5,Intermediate,50,FREE audit/Pay for certificate,15,69848
CourseTalk-5,Autonomous Mobile Robots,edX,Computer Science,ETH Zurich,8,4,3,4,3,4.666666666666667,0.0,0.0,1.0,0.0,166.33333333333334,5,Intermediate,50,FREE audit/Pay for certificate,15,69848
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,293,5,3,1,0,0,0,0,0,0,0,18,Introductory,49,FREE audit/Pay for certificate,8,80166
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,294,5,3,2,0,0,0,0,0,0,0,18,Introductory,49,FREE audit/Pay for certificate,8,80166
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,249,5,3,3,1,5.0,0.0,0.0,1.0,0.0,161.0,18,Introductory,49,FREE audit/Pay for certificate,8,80166
CourseTalk-6,"Technological, Social, and Sustainable Systems",edX,Engineering,Arizona State University,222,5,3,4,2,5.0,0.0,0.0,1.0,0.0,1207.0,18,Introductory,49,FREE audit/Pay for certificate,8,80166
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,1,0,0,0,0,0,0,0,7,Introductory,0,FREE audit,9,45518
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,2,0,0,0,0,0,0,0,7,Introductory,0,FREE audit,9,45518
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,3,12,4.0,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666,245.33333333333334,7,Introductory,0,FREE audit,9,45518
CourseTalk-7,Learn to Program Using Python,edX,Computer Science,University of Texas Arlington,NA,4,20,4,8,4.4375,0.0,0.0,1.0,0.0,185.25,7,Introductory,0,FREE audit,9,45518
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,104,5,18,1,0,0,0,0,0,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,100,5,18,2,4,3.625,0.0,0.0,1.0,0.0,280.75,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,113,5,18,3,10,4.8,0.0,0.0,1.0,0.0,245.3,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480
CourseTalk-8,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,University of Adelaide,125,5,18,4,5,4.3,0.2,0.0,0.8,0.0,302.8,2.5,Introductory,49,FREE audit/Pay for certificate,5,36480
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,1,0,0,0,0,0,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,2,0,0,0,0,0,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,3,9,4.888888888888889,0.0,0.0,1.0,0.0,569.5555555555555,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342
CourseTalk-9,Paradox and Infinity,edX,Philosophy & Ethics,Massachusetts Institute of Technology,1,5,9,4,0,0,0,0,0,0,0,4.5,Introductory,300,FREE audit/Pay for certificate,10,45342
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,1,0,0,0,0,0,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,2,0,0,0,0,0,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,3,5,5.0,0.0,0.0,1.0,0.0,202.8,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188
CourseTalk-10,Introduction to Psychology,edX,Biology & Life Sciences,St. Margaret¡¯s Episcopal School,NA,5,5,4,0,0,0,0,0,0,0,4.5,Introductory,50,FREE audit/Pay for certificate,10,27188
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,22,5,3,1,0,0,0,0,0,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,23,5,3,2,0,0,0,0,0,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,30,5,3,3,0,0,0,0,0,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,23,5,3,4,3,5.0,0.0,0.0,1.0,0.3333333333333333,166.66666666666666,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,2,4,1,1,0,0,0,0,0,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,4,4,1,2,0,0,0,0,0,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,2,4,1,3,0,0,0,0,0,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,3,4,1,4,1,5.0,0.0,0.0,1.0,0.0,185.0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,1,0,0,0,0,0,0,0,7,Intermediate,25,FREE audit/Pay for certificate,9,80170
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,2,0,0,0,0,0,0,0,7,Intermediate,25,FREE audit/Pay for certificate,9,80170
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,3,9,4.444444444444445,0.0,0.2222222222222222,0.7777777777777778,0.0,319.44444444444446,7,Intermediate,25,FREE audit/Pay for certificate,9,80170
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,4,18,4.083333333333333,0.05555555555555555,0.16666666666666666,0.7777777777777778,0.05555555555555555,312.1666666666667,7,Intermediate,25,FREE audit/Pay for certificate,9,80170
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,22,4,1,1,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,23,4,1,2,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,30,4,1,3,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,23,4,1,4,1,5.0,0.0,0.0,1.0,0.0,223.0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,1,0,0,0,0,0,0,0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,2,0,0,0,0,0,0,0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,3,5,4.8,0.0,0.0,1.0,0.0,796.8,12,Intermediate,49,FREE audit/Pay for certificate,12,82884
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,4,4,4.75,0.0,0.0,1.0,0.0,255.25,12,Intermediate,49,FREE audit/Pay for certificate,12,82884
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,150,5,22,1,0,0,0,0,0,0,0,7,Intermediate,0,FREE audit,7,45517
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,151,5,22,2,0,0,0,0,0,0,0,7,Intermediate,0,FREE audit,7,45517
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,135,5,22,3,22,4.7727272727272725,0.045454545454545456,0.0,0.9545454545454546,0.0,395.95454545454544,7,Intermediate,0,FREE audit,7,45517
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,119,5,22,4,0,0,0,0,0,0,0,7,Intermediate,0,FREE audit,7,45517
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,26,5,8,1,0,0,0,0,0,0,0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,28,5,8,2,1,5.0,0.0,0.0,1.0,0.0,44.0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,30,5,8,3,7,5.0,0.0,0.0,1.0,0.2857142857142857,391.7142857142857,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,27,5,8,4,0,0,0,0,0,0,0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,22,4,1,1,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,23,4,1,2,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,30,4,1,3,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,23,4,1,4,1,5.0,0.0,0.0,1.0,0.0,229.0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,79,4,1,1,0,0,0,0,0,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,78,4,1,2,0,0,0,0,0,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,91,4,1,3,0,0,0,0,0,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,89,4,1,4,1,5.0,0.0,0.0,1.0,0.0,192.0,6,Introductory,25,FREE audit/Pay for certificate,9,16427
CourseTalk-20,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Massachusetts Institute of Technology,1,4,1,1,0,0,0,0,0,0,0,2,Intermediate,49,FREE audit/Pay for certificate,6,80336
